Reference,C/S (MM),I.D. (MM)
S3,1.5,2.5
S4,1.5,3.5
S5,1.5,4.5
S6,1.5,5.5
S7,1.5,6.5
S8,1.5,7.5
S9,1.5,8.5
S10,1.5,9.5
S11.2,1.5,10.7
S12,1.5,11.5
S12.5,1.5,12
S14,1.5,13.5
S15,1.5,14.5
S16,1.5,15.5
S18,1.5,17.5
S20,1.5,19.5
S22,1.5,21.5
S22.4,2,21.9
S24,2,23.5
S25,2,24.5
S26,2,25.5
S28,2,27.5
S29,2,28.5
S30,2,29.5
S31.5,2,31
S32,2,31.5
S34,2,33.5
S35,2,34.5
S35.5,2,35
S36,2,35.5
S38,2,37.5
S39,2,38.5
S40,2,39.5
S42,2,41.5
S44,2,43.5
S45,2,44.5
S46,2,45.5
S48,2,47.5
S50,2,49.5
S53,2,52.5
S55,2,54.5
S56,2,55.5
S60,2,59.5
S63,2,62.5
S65,2,64.5
S67,2,66.5
S70,2,69.5
S71,2,70.5
S75,2,74.5
S80,2,79.5
S85,2,84.5
S90,2,89.5
S95,2,94.5
S100,2,99.5
S105,2,104.5
S110,2,109.5
S112,2,111.5
S115,2,114.5
S120,2,119.5
S125,2,124.5
S130,2,129.5
S132,2,131.5
S135,2,134.5
S140,2,139.5
S145,2,144.5
S150,2,149.5
