Inch,MM,Common Name,Tolerance,Low,High
.039,1,1 MM,+/- .010,0.029,0.049
.063,1.6,1/16” Actual,+/- .014,0.049,0.077
.070,1.8,1/16” Nominal,+/- .014,0.056,0.084
.079,2,2 MM,+/- .014,0.065,0.093
.093,2.4,3/32” Actual,+/- .014,0.079,0.107
.103,2.6,3/32” Nominal,+/- .016,0.087,0.119
.118,3,3 MM,+/- .016,0.102,0.134
.125,3.2,1/8” Actual,+/- .016,0.109,0.141
.139,3.5,1/8” Nominal,+/- .016,0.123,0.155
.157,4,4 MM,+/- .016,0.141,0.173
.177,4.5,4.5 MM,+/- .020,0.157,0.197
.188,4.8,3/16” Actual,+/- .020,0.168,0.208
.196,5,5 MM,+/- .020,0.176,0.216
.210,5.3,3/16” Nominal,+/- .020,0.19,0.23
.218,5.5,7/32”,+/- .020,0.198,0.238
.224,5.7,5.7 MM,+/- .020,0.204,0.244
.236,6,6 MM,+/- .020,0.216,0.256
.250,6.4,1/4” Actual,+/- .027,0.223,0.277
.275,7,"1/4” Nominal, 7MM",+/- .027,0.248,0.302
.295,7.5,7.5 MM,+/- .027,0.268,0.322
.313,8,5/16”,+/- .027,0.286,0.34
.330,8.4,8.4 MM,+/- .027,0.303,0.357
.354,9,9 MM,+/- .027,0.327,0.381
.375,9.5,3/8”,+/- .027,0.348,0.402
.393,10,10 MM,+/- .031,0.362,0.424
.437,11.1,7/16”,+/- .031,0.406,0.468
.472,12,12 MM,+/- .031,0.441,0.503
.500,12.7,1/2”,+/- .031,0.469,0.531
.550,14,14 MM,+/- .031,0.519,0.581
.562,14.3,9/16”,+/- .031,0.531,0.593
.590,15,15 MM,+/- .031,0.559,0.621
.625,15.9,5/8”,+/- .031,0.594,0.656
.688,17.5,11/16”,+/- .039,0.649,0.727
.750,19.1,3/4”,+/- .039,0.711,0.789
.813,20.7,13/16”,+/- .039,0.774,0.852
.875,22.2,7/8”,+/- .039,0.836,0.914
1.000,25.4,1”,+/- .051,0.949,1.051
1.125,28.6,1-1/8”,+/- .051,1.074,1.176
1.250,31.8,1-1/4”,+/- .051,1.199,1.301
1.375,34.9,1-3/8”,+/- .051,1.324,1.426
1.500,38.1,1-1/2”,+/- .051,1.449,1.551
